Date,Open,High,Low,Close     Close price adjusted for splits.,Adj Close     Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"May 7, 2025",25.23,25.29,25.20,25.24,25.24,"118,700"
"May 6, 2025",25.11,25.25,25.03,25.24,25.24,"100,500"
"May 5, 2025",25.08,25.15,25.06,25.11,25.11,"76,300"
"May 2, 2025",25.14,25.15,25.04,25.08,25.08,"102,900"
"May 1, 2025",25.21,25.21,24.94,25.00,25.00,"119,800"
"Apr 30, 2025",25.23,25.23,24.98,25.22,25.22,"97,200"
"Apr 29, 2025",25.20,25.23,25.14,25.23,25.23,"123,100"
"Apr 28, 2025",25.03,25.18,24.97,25.18,25.18,"194,100"
"Apr 25, 2025",25.04,25.04,24.84,25.02,25.02,"129,800"
"Apr 24, 2025",24.77,24.98,24.73,24.98,24.98,"101,000"
"Apr 23, 2025",24.79,24.83,24.53,24.57,24.57,"221,100"
"Apr 22, 2025",24.74,24.74,24.44,24.53,24.53,"217,600"
"Apr 21, 2025",24.54,24.55,24.24,24.36,24.36,"178,900"
"Apr 17, 2025",24.50,24.52,24.40,24.46,24.46,"140,100"
"Apr 16, 2025",24.35,24.43,24.28,24.36,24.36,"156,300"
"Apr 15, 2025",24.26,24.26,24.14,24.19,24.19,"619,500"
"Apr 14, 2025",24.33,24.33,23.97,24.14,24.14,"156,600"
"Apr 11, 2025",23.84,24.07,23.59,24.07,24.07,"432,800"
"Apr 10, 2025",23.51,24.00,23.14,23.54,23.54,"380,200"
"Apr 9, 2025",22.99,24.33,22.99,24.32,24.32,"643,600"
"Apr 8, 2025",23.77,23.77,23.11,23.18,23.18,"323,600"
"Apr 7, 2025",23.50,24.10,23.41,23.52,23.52,"434,300"
"Apr 4, 2025",25.03,25.06,24.03,24.06,24.06,"915,700"
"Apr 3, 2025",25.41,25.42,25.22,25.23,25.23,"363,000"
"Apr 2, 2025",25.39,25.42,25.34,25.41,25.41,"251,900"
"Apr 1, 2025",25.17,25.38,25.17,25.29,25.29,"339,000"
"Mar 31, 2025",25.11,25.17,25.02,25.16,25.16,"168,000"
"Mar 28, 2025",25.04,25.08,25.00,25.04,25.04,"281,000"
"Mar 27, 2025",24.96,25.04,24.94,25.03,25.03,"1,227,500"
"Mar 26, 2025",25.13,25.13,24.94,24.96,24.96,"245,700"
"Mar 25, 2025",25.09,25.13,25.09,25.12,25.12,"97,800"
"Mar 24, 2025",25.16,25.16,25.05,25.08,25.08,"117,000"
"Mar 21, 2025",25.19,25.19,25.06,25.09,25.09,"109,700"
"Mar 20, 2025",25.32,25.32,25.15,25.19,25.19,"243,700"
"Mar 19, 2025",25.09,25.29,25.03,25.27,25.27,"289,200"
"Mar 18, 2025",25.12,25.12,24.99,25.08,25.08,"175,100"
"Mar 17, 2025",25.00,25.13,24.98,25.11,25.11,"188,000"
"Mar 14, 2025",24.73,24.91,24.73,24.90,24.90,"230,700"
"Mar 13, 2025",24.62,24.72,24.51,24.68,24.68,"169,300"
"Mar 12, 2025",24.79,24.79,24.60,24.67,24.67,"218,900"
"Mar 11, 2025",24.86,24.87,24.71,24.74,24.74,"659,500"
"Mar 10, 2025",25.00,25.00,24.60,24.70,24.70,"655,800"
"Mar 7, 2025",25.04,25.47,24.56,24.96,24.96,"564,500"
"Mar 6, 2025",24.91,25.13,24.88,25.00,25.00,"1,296,800"
